team,strength
France,1520.0
England,1360.0
Spain,1220.0
Portugal,1010.0
Germany,947.0
Brazil,928.2
Argentina,807.5
Netherlands,754.2
Norway,589.9
Belgium,547.5
Côte d'Ivoire,522.1
Senegal,478.1
Turkey,473.7
Morocco,447.7
Sweden,406.08
Croatia,387.3
United States,385.65
Ecuador,368.7
Denmark,365.0
Uruguay,359.3
Switzerland,332.5
Italy,315.7
Colombia,302.35
Greece,275.6
Japan,270.85
Georgia,260.6
Algeria,256.9
Ukraine,247.0
Austria,245.2
Russia,242.7
Ghana,234.35
Poland,231.6
Serbia,209.5
Hungary,209.2
Cameroon,198.7
Canada,198.65
Mexico,191.85
Czechia,188.18
Wales,180.65
Nigeria,172.05
Scotland,170.25
Paraguay,153.65
Ireland,146.85
Bosnia,146.4
Congo DR,143.9
South Korea,139.05
Mali,116.55
Egypt,116.48
Burkina Faso,110.5
Slovenia,100.5
Iceland,89.1
Albania,88.8
Uzbekistan,85.33
N. Ireland,79.9
Venezuela,79.0
Australia,77.45
Tunisia,69.95
Chile,66.8
Slovakia,59.85
Romania,56.95
Cabo Verde,54.5
South Africa,49.25
Finland,41.85
Saudi Arabia,40.68
Panama,34.55
North Macedonia,34.45
Iran,32.05
Peru,30.63
United Arab Emirates,29.05
Costa Rica,28.2
Iraq,21.2
Honduras,20.93
Jordan,20.3
Qatar,19.93
Jamaica,9.05
