match_id,date,group,home_team,away_team,neutral,home_score,away_score
1,2026-06-11,A,Group A Team 1,Group A Team 2,true,,
2,2026-06-11,A,Group A Team 3,Group A Team 4,true,,
3,2026-06-11,B,Group B Team 1,Group B Team 2,true,,
4,2026-06-11,B,Group B Team 3,Group B Team 4,true,,
5,2026-06-11,C,Group C Team 1,Group C Team 2,true,,
6,2026-06-11,C,Group C Team 3,Group C Team 4,true,,
7,2026-06-11,D,Group D Team 1,Group D Team 2,true,,
8,2026-06-11,D,Group D Team 3,Group D Team 4,true,,
9,2026-06-12,E,Group E Team 1,Group E Team 2,true,,
10,2026-06-12,E,Group E Team 3,Group E Team 4,true,,
11,2026-06-12,F,Group F Team 1,Group F Team 2,true,,
12,2026-06-12,F,Group F Team 3,Group F Team 4,true,,
13,2026-06-12,G,Group G Team 1,Group G Team 2,true,,
14,2026-06-12,G,Group G Team 3,Group G Team 4,true,,
15,2026-06-12,H,Group H Team 1,Group H Team 2,true,,
16,2026-06-12,H,Group H Team 3,Group H Team 4,true,,
17,2026-06-13,I,Group I Team 1,Group I Team 2,true,,
18,2026-06-13,I,Group I Team 3,Group I Team 4,true,,
19,2026-06-13,J,Group J Team 1,Group J Team 2,true,,
20,2026-06-13,J,Group J Team 3,Group J Team 4,true,,
21,2026-06-13,K,Group K Team 1,Group K Team 2,true,,
22,2026-06-13,K,Group K Team 3,Group K Team 4,true,,
23,2026-06-13,L,Group L Team 1,Group L Team 2,true,,
24,2026-06-13,L,Group L Team 3,Group L Team 4,true,,
25,2026-06-18,A,Group A Team 1,Group A Team 3,true,,
26,2026-06-18,A,Group A Team 4,Group A Team 2,true,,
27,2026-06-18,B,Group B Team 1,Group B Team 3,true,,
28,2026-06-18,B,Group B Team 4,Group B Team 2,true,,
29,2026-06-18,C,Group C Team 1,Group C Team 3,true,,
30,2026-06-18,C,Group C Team 4,Group C Team 2,true,,
31,2026-06-18,D,Group D Team 1,Group D Team 3,true,,
32,2026-06-18,D,Group D Team 4,Group D Team 2,true,,
33,2026-06-19,E,Group E Team 1,Group E Team 3,true,,
34,2026-06-19,E,Group E Team 4,Group E Team 2,true,,
35,2026-06-19,F,Group F Team 1,Group F Team 3,true,,
36,2026-06-19,F,Group F Team 4,Group F Team 2,true,,
37,2026-06-19,G,Group G Team 1,Group G Team 3,true,,
38,2026-06-19,G,Group G Team 4,Group G Team 2,true,,
39,2026-06-19,H,Group H Team 1,Group H Team 3,true,,
40,2026-06-19,H,Group H Team 4,Group H Team 2,true,,
41,2026-06-20,I,Group I Team 1,Group I Team 3,true,,
42,2026-06-20,I,Group I Team 4,Group I Team 2,true,,
43,2026-06-20,J,Group J Team 1,Group J Team 3,true,,
44,2026-06-20,J,Group J Team 4,Group J Team 2,true,,
45,2026-06-20,K,Group K Team 1,Group K Team 3,true,,
46,2026-06-20,K,Group K Team 4,Group K Team 2,true,,
47,2026-06-20,L,Group L Team 1,Group L Team 3,true,,
48,2026-06-20,L,Group L Team 4,Group L Team 2,true,,
49,2026-06-25,A,Group A Team 4,Group A Team 1,true,,
50,2026-06-25,A,Group A Team 2,Group A Team 3,true,,
51,2026-06-25,B,Group B Team 4,Group B Team 1,true,,
52,2026-06-25,B,Group B Team 2,Group B Team 3,true,,
53,2026-06-25,C,Group C Team 4,Group C Team 1,true,,
54,2026-06-25,C,Group C Team 2,Group C Team 3,true,,
55,2026-06-25,D,Group D Team 4,Group D Team 1,true,,
56,2026-06-25,D,Group D Team 2,Group D Team 3,true,,
57,2026-06-26,E,Group E Team 4,Group E Team 1,true,,
58,2026-06-26,E,Group E Team 2,Group E Team 3,true,,
59,2026-06-26,F,Group F Team 4,Group F Team 1,true,,
60,2026-06-26,F,Group F Team 2,Group F Team 3,true,,
61,2026-06-26,G,Group G Team 4,Group G Team 1,true,,
62,2026-06-26,G,Group G Team 2,Group G Team 3,true,,
63,2026-06-26,H,Group H Team 4,Group H Team 1,true,,
64,2026-06-26,H,Group H Team 2,Group H Team 3,true,,
65,2026-06-27,I,Group I Team 4,Group I Team 1,true,,
66,2026-06-27,I,Group I Team 2,Group I Team 3,true,,
67,2026-06-27,J,Group J Team 4,Group J Team 1,true,,
68,2026-06-27,J,Group J Team 2,Group J Team 3,true,,
69,2026-06-27,K,Group K Team 4,Group K Team 1,true,,
70,2026-06-27,K,Group K Team 2,Group K Team 3,true,,
71,2026-06-27,L,Group L Team 4,Group L Team 1,true,,
72,2026-06-27,L,Group L Team 2,Group L Team 3,true,,
