group,team
A,Group A Team 1
A,Group A Team 2
A,Group A Team 3
A,Group A Team 4
B,Group B Team 1
B,Group B Team 2
B,Group B Team 3
B,Group B Team 4
C,Group C Team 1
C,Group C Team 2
C,Group C Team 3
C,Group C Team 4
D,Group D Team 1
D,Group D Team 2
D,Group D Team 3
D,Group D Team 4
E,Group E Team 1
E,Group E Team 2
E,Group E Team 3
E,Group E Team 4
F,Group F Team 1
F,Group F Team 2
F,Group F Team 3
F,Group F Team 4
G,Group G Team 1
G,Group G Team 2
G,Group G Team 3
G,Group G Team 4
H,Group H Team 1
H,Group H Team 2
H,Group H Team 3
H,Group H Team 4
I,Group I Team 1
I,Group I Team 2
I,Group I Team 3
I,Group I Team 4
J,Group J Team 1
J,Group J Team 2
J,Group J Team 3
J,Group J Team 4
K,Group K Team 1
K,Group K Team 2
K,Group K Team 3
K,Group K Team 4
L,Group L Team 1
L,Group L Team 2
L,Group L Team 3
L,Group L Team 4
