match_id,date,group,home_team,away_team,neutral,home_score,away_score
1,2026-06-11,A,Mexico,South Africa,True,2,0
2,2026-06-11,A,South Korea,Czechia,True,2,1
3,2026-06-12,B,Canada,Bosnia-Herzegovina,True,1,1
4,2026-06-12,D,United States,Paraguay,True,4,1
5,2026-06-13,B,Qatar,Switzerland,True,1,1
6,2026-06-13,C,Brazil,Morocco,True,1,1
7,2026-06-13,C,Haiti,Scotland,True,0,1
8,2026-06-13,D,Australia,Turkey,True,2,0
9,2026-06-14,E,Germany,Curaçao,True,7,1
10,2026-06-14,E,Côte d'Ivoire,Ecuador,True,1,0
11,2026-06-14,F,Netherlands,Japan,True,2,2
12,2026-06-14,F,Sweden,Tunisia,True,5,1
13,2026-06-15,G,Belgium,Egypt,True,,
14,2026-06-15,G,Iran,New Zealand,True,,
15,2026-06-15,H,Spain,Cabo Verde,True,,
16,2026-06-15,H,Saudi Arabia,Uruguay,True,,
17,2026-06-16,I,France,Senegal,True,,
18,2026-06-16,I,Iraq,Norway,True,,
19,2026-06-16,J,Argentina,Algeria,True,,
20,2026-06-16,J,Austria,Jordan,True,,
21,2026-06-17,K,Portugal,Congo DR,True,,
22,2026-06-17,K,Uzbekistan,Colombia,True,,
23,2026-06-17,L,England,Croatia,True,,
24,2026-06-17,L,Ghana,Panama,True,,
25,2026-06-18,A,Czechia,South Africa,True,,
26,2026-06-18,A,Mexico,South Korea,True,,
27,2026-06-18,B,Switzerland,Bosnia-Herzegovina,True,,
28,2026-06-18,B,Canada,Qatar,True,,
29,2026-06-19,C,Scotland,Morocco,True,,
30,2026-06-19,C,Brazil,Haiti,True,,
31,2026-06-19,D,United States,Australia,True,,
32,2026-06-19,D,Turkey,Paraguay,True,,
33,2026-06-20,E,Germany,Côte d'Ivoire,True,,
34,2026-06-20,E,Ecuador,Curaçao,True,,
35,2026-06-20,F,Netherlands,Sweden,True,,
36,2026-06-20,F,Tunisia,Japan,True,,
37,2026-06-21,G,Belgium,Iran,True,,
38,2026-06-21,G,New Zealand,Egypt,True,,
39,2026-06-21,H,Spain,Saudi Arabia,True,,
40,2026-06-21,H,Uruguay,Cabo Verde,True,,
41,2026-06-22,I,France,Iraq,True,,
42,2026-06-22,I,Norway,Senegal,True,,
43,2026-06-22,J,Argentina,Austria,True,,
44,2026-06-22,J,Jordan,Algeria,True,,
45,2026-06-23,K,Portugal,Uzbekistan,True,,
46,2026-06-23,K,Colombia,Congo DR,True,,
47,2026-06-23,L,England,Ghana,True,,
48,2026-06-23,L,Panama,Croatia,True,,
49,2026-06-24,A,Mexico,Czechia,True,,
50,2026-06-24,A,South Africa,South Korea,True,,
51,2026-06-24,B,Canada,Switzerland,True,,
52,2026-06-24,B,Bosnia-Herzegovina,Qatar,True,,
53,2026-06-24,C,Scotland,Brazil,True,,
54,2026-06-24,C,Morocco,Haiti,True,,
55,2026-06-25,D,United States,Turkey,True,,
56,2026-06-25,D,Paraguay,Australia,True,,
57,2026-06-25,E,Curaçao,Côte d'Ivoire,True,,
58,2026-06-25,E,Ecuador,Germany,True,,
59,2026-06-25,F,Japan,Sweden,True,,
60,2026-06-25,F,Tunisia,Netherlands,True,,
61,2026-06-26,G,Egypt,Iran,True,,
62,2026-06-26,G,New Zealand,Belgium,True,,
63,2026-06-26,H,Cabo Verde,Saudi Arabia,True,,
64,2026-06-26,H,Uruguay,Spain,True,,
65,2026-06-26,I,Norway,France,True,,
66,2026-06-26,I,Senegal,Iraq,True,,
67,2026-06-27,J,Algeria,Austria,True,,
68,2026-06-27,J,Jordan,Argentina,True,,
69,2026-06-27,K,Colombia,Portugal,True,,
70,2026-06-27,K,Congo DR,Uzbekistan,True,,
71,2026-06-27,L,Panama,England,True,,
72,2026-06-27,L,Croatia,Ghana,True,,
